,crate_name,crate_hash,def_path,def_path_hash,summary_key,unsafe_reason
13732,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[63]::as_ref[0],29d0477bd62817ca6df4365efb0be5de,rust_extra.arrays.implement_arrays.as_ref,borrow of packed field
16566,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[110]::lt[0],24c407a032d8d77d13a68b429af2da3e,rust_extra.arrays.implement_arrays.lt,borrow of packed field
22124,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[42]::fmt[0],43afac55d64450e82e936588f4e050c6,rust_extra.arrays.implement_arrays.fmt,borrow of packed field
24240,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[149]::ge[0],73caaa5979030205a65a3e1865dc7966,rust_extra.arrays.implement_arrays.ge,borrow of packed field
26924,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[104]::get_unchecked[0],8ed7302f6c1eb9c2a99c35f1f4e80791,rust_extra.arrays.implement_arrays.get_unchecked,borrow of packed field
40420,tendril,5a204546fc7da903,tendril[81fc]::tendril[0]::{{impl}}[28]::incref[0],b59674f373fabb9cdf2351af23d379a8,tendril.tendril.implement_tendril.incref,borrow of packed field
41694,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[39]::as_mut_ptr[0],c33d3606016fe0e63c413f9184d1e1c8,rust_extra.arrays.implement_arrays.as_mut_ptr,borrow of packed field
44479,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[24]::as_ref[0],2a347c00f07007fc5c60737d8cfff9b5,rust_extra.arrays.implement_arrays.as_ref,borrow of packed field
62768,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[6]::lt[0],b88bdf1ce6fe7ad02bd2644298ddf6fc,rust_extra.arrays.implement_arrays.lt,borrow of packed field
64102,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[115]::as_ref[0],21bfa8901a0c1c6629df3b76cde05553,rust_extra.arrays.implement_arrays.as_ref,borrow of packed field
70726,pe,d772e081044817cc,pe[5631]::utility[0]::{{impl}}[24]::fmt[0],d8636cc735fcf045ac8a999ab408c1f4,pe.utility.implement_utility.fmt,borrow of packed field
83937,multiboot,1ef2440825c22254,multiboot[f482]::{{impl}}[5]::fmt[0],35732628a4201faf1464e22f9c2b1a1c,multiboot.implement_5.fmt,borrow of packed field
111752,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[101]::into_iter[0],18808427de8f07e1bc326fe50345d7d3,rust_extra.arrays.implement_arrays.into_iter,borrow of packed field
133155,syscall,74324622c729e00f,syscall[8598]::io[0]::mmio[0]::{{impl}}[1]::write[0],cf57fb29bbdaceea7884547fc5690ab5,syscall.io.mmio.implement_mmio.write,borrow of packed field
137697,libopencm3_sys,8eed6dfb20dbb611,libopencm3_sys[f827]::{{impl}}[6]::set_tSamFreq[0],315aa8309ad1a83aa731da3ad921700e,libopencm3_sys.implement_6.set_tSamFreq,borrow of packed field
