,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,locally_defined,is_submittable_by_client,Reason
536511,34887,aflak_imgui,0.18.1,aflak_imgui,f44877729cb1601e,2015,161726564,57610708,51437459,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/aflak_imgui-0.18.1/src/lib.rs,156,22,UnsafeBlockUserProvided,49672362,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
22790,825,async-std,1.4.0,async_std,6b2f9e7750ba3c2b,2018,4333793,1610346,1458025,Root,{{root}},src/task/task_local.rs,101,33,UnsafeBlockUserProvided,1326365,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
472852,28856,av-metrics,0.3.0,av_metrics,f0c24281e732d0f3,2018,130724433,46998480,42133580,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/av-metrics-0.3.0/src/video/ciede/mod.rs,105,12,UnsafeBlockUserProvided,40521749,Unsafe,Rust,non-const,non-const,non-const,False,True,False,False,Choice
25237,863,awi,0.8.0,awi,a2d8bff5a4902bd2,2015,4420289,1649914,1497561,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/awi-0.8.0/src/os/linux/mod.rs,217,1,UnsafeBlockUserProvided,1361829,Unsafe,system,non-const,non-const,non-const,False,True,False,False,FFI
584045,40603,bigbro,0.5.2,bigbro,e952541766f45ce2,2018,187643567,67220115,60023057,Root,{{root}},src/linux.rs,1201,22,UnsafeBlockUserProvided,57865818,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,True,Callback
683380,52466,brotli-decompressor,2.3.0,brotli_decompressor,81ed689aec23d8c8,2015,241540759,86731509,77422936,Root,{{root}},src/ffi/alloc_util.rs,92,20,UnsafeBlockUserProvided,74395982,Normal,C,non-const,non-const,non-const,False,True,False,True,Sublassing
55699,2319,char-circle,0.1.0,char_circle,7e817de07a768406,2018,11669579,4080751,3677782,Root,{{root}},src/lib.rs,417,8,UnsafeBlockUserProvided,3472022,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,True,False,Code reuse
429940,25144,configure,0.1.1,configure,3cdb9aef07da5ffa,2015,113333982,40347375,36309930,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/configure-0.1.1/src/source.rs,89,8,UnsafeBlockUserProvided,35102764,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True,Callback
808939,65480,core,0.0.0,core,9e5d89f6bf45f768,2018,296237808,107093090,95945481,Root,{{root}},/home/vakaras/.rustup/toolchains/nightly-2020-02-03-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/src/libcore/slice/mod.rs,1968,8,UnsafeBlockUserProvided,91981114,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,True,Callback
808804,65480,core,0.0.0,core,9e5d89f6bf45f768,2018,296236812,107092677,95945110,Root,{{root}},/home/vakaras/.rustup/toolchains/nightly-2020-02-03-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/src/libcore/slice/sort.rs,35,4,UnsafeBlockUserProvided,91980708,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,True,Callback
962623,86844,coz,0.1.2,coz,2c602a9fb16658df,2018,393181975,141793454,127002119,Root,{{root}},src/lib.rs,219,4,UnsafeBlockUserProvided,122027527,Unsafe,C,non-const,non-const,non-const,False,True,False,False,FFI
1019896,97367,cult,0.0.3,cult,78ddd3888158e865,2015,440841607,159065729,142568037,Root,{{root}},src/lib.rs,195,2,UnsafeBlockUserProvided,137082725,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,True,Callback
778580,61758,definitive,0.1.0,definitive,3790ff3209a48853,2018,281407842,101560082,90919096,Root,{{root}},src/vector.rs,22,21,UnsafeBlockUserProvided,87219148,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,True,Callback
84952,4258,diesel,1.4.3,diesel,c4729fab2f225195,2015,20853966,7420892,6627824,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/diesel-1.4.3/src/sqlite/connection/raw.rs,155,4,UnsafeBlockUserProvided,6260189,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,False,FFI
