,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,is_unique_target,dyn Trait,generic bound,macro var
924596,76962,allegro_audio,0.0.38,allegro_audio,2876691f7ac6e64e,2015,347022519,125596261,112627201,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/allegro_audio-0.0.38/src/mixer.rs,255,1,UnsafeBlockUserProvided,107841720,Normal,Rust,allegro_audio,allegro_audio[2db6]::mixer[0]::PostProcessCallback[0]::process[0],allegro_audio.mixer.PostProcessCallback.process,True,True,True,False,False,False
836333,66225,alloc-wg,0.7.0,alloc_wg,be0dd2720d324c10,2018,300391286,108874422,97534974,Root,{{root}},src/raw_vec.rs,844,12,UnsafeBlockUserProvided,93328652,Unsafe,Rust,alloc_wg,alloc_wg[ba76]::alloc[0]::ReallocRef[0]::realloc[0],alloc_wg.alloc.ReallocRef.realloc,True,True,False,False,True,False
290525,13797,arrayvec,0.5.1,arrayvec,1197ca20e1f1caad,2018,63552380,22654442,20291912,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/arrayvec-0.5.1/src/lib.rs,112,8,UnsafeBlockUserProvided,19626337,Normal,Rust,arrayvec,arrayvec[9492]::array[0]::Index[0]::from[0],arrayvec.array.Index.from,True,True,True,False,False,False
1061771,95049,async-tftp,0.1.3,async_tftp,77899096f3fd9a79,2018,431295480,156049913,139863499,Root,{{root}},src/server/read_req.rs,93,22,UnsafeBlockUserProvided,134141435,Unsafe,Rust,bytes,bytes[1243]::buf[0]::buf_mut[0]::BufMut[0]::bytes_mut[0],bytes.buf.buf_mut.BufMut.bytes_mut,True,True,True,False,False,False
131408,5192,auto_correct,0.1.9,auto_correct,d25876dc797668c1,2015,25951574,9190992,8158687,Root,{{root}},src/stores.rs,41,4,UnsafeBlockUserProvided,7858850,Normal,Rust,alloc,alloc[5a1b]::borrow[0]::ToOwned[0]::to_owned[0],alloc.borrow.ToOwned.to_owned,True,True,True,False,False,False
168244,7898,basenc,0.1.0,basenc,6b441a245e547038,2015,37831246,13376523,11973467,Root,{{root}},src/details/hex/mod.rs,182,1,UnsafeBlockUserProvided,11518921,Unsafe,Rust,basenc,basenc[3e98]::buf[0]::EncodeBuf[0]::commit[0],basenc.buf.EncodeBuf.commit,True,True,False,False,True,False
399137,21282,bit-set,0.5.1,bit_set,e7b6c7ac14973ad5,2015,95575797,34256096,30692969,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/bit-set-0.5.1/src/lib.rs,390,8,UnsafeBlockUserProvided,29760256,Normal,Rust,bit_vec,bit_vec[1488]::BitBlock[0]::bits[0],bit_vec.BitBlock.bits,True,True,False,False,True,False
937243,79076,ccl,5.1.5,ccl,3780cc1754dcb432,2018,358197021,129517068,115946177,Root,{{root}},src/nestedmap/raw.rs,113,26,UnsafeBlockUserProvided,111072621,Unsafe,Rust,ccl,ccl[3af6]::util[0]::UnsafeOption[0]::unsafe_unwrap[0],ccl.util.UnsafeOption.unsafe_unwrap,True,True,True,False,False,False
127657,4758,clear_on_drop,0.2.3,clear_on_drop,acfbcbd1f1fe6c18,2015,23597367,8455650,7524323,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/clear_on_drop-0.2.3/src/clear.rs,64,8,UnsafeBlockUserProvided,7101110,Unsafe,Rust,clear_on_drop,clear_on_drop[f6b4]::clear[0]::InitializableFromZeroed[0]::initialize[0],clear_on_drop.clear.InitializableFromZeroed.initialize,True,True,False,False,True,False
701155,52617,criterion,0.3.0,criterion,85133e6e941bfb6e,2018,242245753,87263594,77846720,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/criterion-0.3.0/src/stats/univariate/percentiles.rs,57,8,UnsafeBlockUserProvided,74676531,Normal,Rust,cast,cast[eb1c]::From[0]::cast[0],cast.From.cast,True,True,False,False,True,False
