,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,is_unique_target,dyn Trait,generic bound,macro var
402244,23159,abomonation,0.7.3,abomonation,bd092d823a537800,2015,104074633,37115269,33412841,Root,{{root}},src/abomonated.rs,124,25,UnsafeBlockUserProvided,32271627,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,False,False,True,False
998230,92622,allegro_primitives,0.0.38,allegro_primitives,407e56733fddbed9,2015,420261262,151579866,135814916,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/allegro_primitives-0.0.38/src/lib.rs,101,2,UnsafeBlockUserProvided,130606822,Normal,Rust,allegro_primitives,allegro_primitives[dc08]::VertexType[0]::get_decl[0],allegro_primitives.VertexType.get_decl,True,True,False,False,True,False
897069,77706,alpm,0.8.0,alpm,20ea322597f7e270,2018,351232221,126762546,113470595,Root,{{root}},src/db.rs,85,20,UnsafeBlockUserProvided,108916586,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
711592,55355,async-coap,0.1.0,async_coap,d71b9ebe76ea180c,2018,254891629,91469911,81761154,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/async-coap-0.1.0/src/arc_guard.rs,152,26,UnsafeBlockUserProvided,78649877,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
32620,1419,async-stream,0.2.0,async_stream,34f66e506e15eef8,2018,7122606,2563566,2298163,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/async-stream-0.2.0/src/yielder.rs,54,26,UnsafeBlockUserProvided,2181462,Normal,Rust,core,core[e667]::ops[0]::deref[0]::DerefMut[0]::deref_mut[0],core.ops.deref.DerefMut.deref_mut,True,True,False,False,True,False
682558,52146,assembler,0.10.1,assembler,2583a4ae346af69a,2015,240067264,86190069,76927727,Root,{{root}},src/mnemonic_parameter_types/memory/MemoryOperand.rs,409,49,UnsafeBlockUserProvided,73924119,Normal,Rust,assembler,assembler[f78e]::mnemonic_parameter_types[0]::registers[0]::Register[0]::index[0],assembler.mnemonic_parameter_types.registers.Register.index,True,True,False,False,True,False
816265,66787,assimp,0.3.1,assimp,a7cc2d34cd787be6,2015,302390534,109225508,97858504,Root,{{root}},src/scene/animation.rs,61,12,UnsafeBlockUserProvided,93784985,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
429366,25038,atomic_ring_buffer,1.0.0,atomic_ring_buffer,1438264ccb3b4932,2015,112606867,40147980,36147021,Root,{{root}},src/lib.rs,210,23,UnsafeBlockUserProvided,34908740,Normal,Rust,core,core[e667]::convert[0]::AsRef[0]::as_ref[0],core.convert.AsRef.as_ref,True,True,False,False,True,False
521385,32566,beach_map,0.1.2,beach_map,45bae23ac7ffaa8d,2018,149629919,53425209,47796644,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/beach_map-0.1.2/src/lib.rs,380,16,UnsafeBlockUserProvided,46102876,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
837847,70312,bigqueue,0.0.2,bigqueue,9ea0b7a72bd3412,2018,318017944,114911332,103042430,Root,{{root}},src/bigqueue.rs,239,16,UnsafeBlockUserProvided,98762983,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
